DATE,CAUDAL,PP,T,PET
1999-04-10,23770,22.53921315,25.93051529,5.075746536
1999-04-11,23860,22.53921315,25.35737991,4.046734333
1999-04-12,23920,22.53921315,26.69026947,4.084938526
1999-04-13,24010,22.53921315,27.16450691,4.058982849
1999-04-14,24100,22.53921315,26.41965103,4.0722785
1999-04-15,24220,22.53921315,26.79857826,4.247114658
1999-04-16,24420,22.53921315,25.02133942,4.25331831
1999-04-17,24600,22.53921315,24.89545059,4.121492386
1999-04-18,24730,22.53921315,21.57862854,4.176143169
1999-04-19,24850,22.53921315,23.71931839,4.183362007
1999-04-20,24960,22.53921315,24.72290802,4.142080307
1999-04-21,25080,22.53921315,25.67897415,4.977808952
1999-04-22,25190,22.53921315,25.81179047,4.044598579
1999-04-23,25310,22.53921315,26.04669952,4.08242321
1999-04-24,25450,22.53921315,25.97057343,4.036650658
1999-04-25,25590,22.53921315,24.92146492,4.049389839
1999-04-26,25700,22.53921315,26.00190353,4.016518593
1999-04-27,25790,22.53921315,26.3613987,4.055151463
1999-04-28,25880,22.53921315,26.00919724,3.965018272
1999-04-29,25950,22.53921315,26.31832504,4.039759159
1999-04-30,26040,22.53921315,25.8596077,4.051398754
1999-05-01,26130,18.66303102,24.89083481,4.047566414
1999-05-02,26240,18.66303102,25.79452705,4.768289566
1999-05-03,26350,18.66303102,25.54563713,4.119332314
1999-05-04,26450,18.66303102,26.18409729,4.04406786
1999-05-05,26520,18.66303102,26.26874161,3.94841218
1999-05-06,26570,18.66303102,25.98109436,4.069233894
1999-05-07,26630,18.66303102,26.18199158,3.945826769
1999-05-08,26680,18.66303102,26.81037712,4.122575283
1999-05-09,26730,18.66303102,26.02060318,4.021494389
1999-05-10,26750,18.66303102,26.92430878,4.087853909
1999-05-11,26760,18.66303102,26.5041523,4.102258682
1999-05-12,26900,18.66303102,24.01052094,4.055238247
1999-05-13,26920,18.66303102,24.84298325,4.91848278
1999-05-14,26900,18.66303102,25.47451782,4.95070076
1999-05-15,26900,18.66303102,25.10287476,3.985095263
1999-05-16,26900,18.66303102,26.09177017,4.023638725
1999-05-17,26910,18.66303102,25.68133545,4.01499176
1999-05-18,26910,18.66303102,25.60066032,3.859988213
1999-05-19,27020,18.66303102,25.24449539,3.979091406
