date,q,pp,pp-1,t,pet
1/01/1992,3581,3.8057,2.0616,15.8751,3.712
2/01/1992,4178,1.1815,3.8057,16.2689,3.8973
3/01/1992,5085,0.5577,1.1815,16.5841,3.5199
4/01/1992,5976,1.5135,0.5577,16.3258,3.7345
5/01/1992,5988,2.4808,1.5135,15.7306,2.9122
6/01/1992,5525,2.1795,2.4808,16.0482,3.2733
7/01/1992,5167,1.6536,2.1795,16.1626,3.5782
8/01/1992,4843,0.0717,1.6536,16.6006,3.8942
9/01/1992,4512,0.9358,0.0717,16.8635,3.7356
10/01/1992,3961,0.6928,0.9358,16.8835,3.7455
11/01/1992,3864,0.0136,0.6928,16.9867,3.7106
12/01/1992,3688,0.0416,0.0136,17.5043,4.1881
13/01/1992,4131,4.8802,0.0416,16.4394,3.5512
14/01/1992,4253,6.8945,4.8802,16.2799,3.7597
15/01/1992,3742,1.2132,6.8945,16.6277,4.2948
16/01/1992,3821,0.5622,1.2132,16.2331,3.8517
17/01/1992,3586,0.2064,0.5622,16.9063,3.9389
18/01/1992,3502,0.5067,0.2064,16.3609,3.5223
19/01/1992,4135,0.0721,0.5067,16.5211,3.6421
20/01/1992,4607,0.3567,0.0721,16.3654,3.34
21/01/1992,4158,1.5265,0.3567,16.7978,3.7201
22/01/1992,3620,1.778,1.5265,16.9969,3.687
23/01/1992,2942,2.9226,1.778,16.5088,3.3974
24/01/1992,2581,1.2138,2.9226,17.0514,4.2846
25/01/1992,2761,1.1193,1.2138,17.0199,4.0581
26/01/1992,3338,4.9453,1.1193,16.9647,3.9516
27/01/1992,3386,10.8902,4.9453,16.664,3.7639
28/01/1992,3288,0.5626,10.8902,16.6074,3.9104
29/01/1992,2836,3.2451,0.5626,16.563,3.9512
30/01/1992,2518,1.363,3.2451,16.7607,3.5498
31/01/1992,2333,3.4093,1.363,16.9817,3.9527
1/02/1992,2044,0.6821,3.4093,17.0409,4.3647
2/02/1992,1816,0.098,0.6821,17.3321,3.9362
3/02/1992,1554,1.1976,0.098,17.6135,3.8891
4/02/1992,1611,0.5289,1.1976,17.5795,3.9922
5/02/1992,2445,0.0071,0.5289,17.0646,3.6573
6/02/1992,3409,0.027,0.0071,15.5524,2.8734
7/02/1992,3232,2.102,0.027,15.9354,3.8144
8/02/1992,3452,0,2.102,16.6334,4.0461
9/02/1992,3012,0.5317,0,17.0554,4.0007
10/02/1992,2194,1.7492,0.5317,16.616,4.1381
11/02/1992,2621,2.9954,1.7492,16.7073,4.0628
12/02/1992,2738,12.4597,2.9954,16.7992,3.8776
13/02/1992,2428,10.7968,12.4597,16.6517,3.8555
14/02/1992,1946,0.38,10.7968,16.8532,3.9374
15/02/1992,1474,0.0379,0.38,17.3877,3.8149
16/02/1992,1635,16.2941,0.0379,16.1692,2.7805
17/02/1992,1889,0.5488,16.2941,16.3868,3.745
18/02/1992,2283,0.1991,0.5488,15.8648,3.3421
19/02/1992,2008,0.0078,0.1991,15.9708,3.5797
20/02/1992,1783,0.5869,0.0078,16.4399,4.1185
21/02/1992,1769,2.3012,0.5869,16.8209,3.7701
22/02/1992,2094,4.0952,2.3012,16.4209,3.6018
23/02/1992,2448,7.5265,4.0952,15.8916,3.3119
24/02/1992,2898,9.6458,7.5265,15.4944,2.8946
25/02/1992,3922,3.637,9.6458,15.4333,2.7904
26/02/1992,5130,12.7398,3.637,16.3971,3.2885
27/02/1992,6000,6.6813,12.7398,15.6913,3.0306
28/02/1992,6431,0.8677,6.6813,15.4678,3.4593
29/02/1992,6104,0.0122,0.8677,16.3836,3.7603
1/03/1992,4784,0.0612,0.0122,16.7706,3.738
2/03/1992,4080,0.1944,0.0612,16.6909,3.5823
3/03/1992,3606,0.5503,0.1944,16.6271,3.601
4/03/1992,3436,0.7599,0.5503,16.7613,3.4069
5/03/1992,3979,3.3502,0.7599,16.1209,3.0414
6/03/1992,5939,1.3693,3.3502,15.6461,2.8971
7/03/1992,6640,0.9068,1.3693,15.1838,3.3518
8/03/1992,7028,11.3735,0.9068,15.9421,3.6185
9/03/1992,6735,3.8667,11.3735,16.7964,3.818
10/03/1992,5844,0.6109,3.8667,16.2471,3.0599
11/03/1992,5935,0.7279,0.6109,16.4391,3.7162
12/03/1992,6715,0.5319,0.7279,16.9577,3.5946
13/03/1992,7749,10.1408,0.5319,15.7821,2.8973
14/03/1992,8684,6.7709,10.1408,16.34,3.6559
15/03/1992,9379,2.0722,6.7709,17.2934,3.9184
16/03/1992,8168,1.4235,2.0722,17.6281,3.8062
17/03/1992,6013,10.6201,1.4235,16.535,2.949
18/03/1992,6451,9.728,10.6201,16.5145,3.2735
19/03/1992,7285,7.8259,9.728,16.6959,3.5193
20/03/1992,8318,15.3729,7.8259,17.089,3.6713
21/03/1992,8628,8.1851,15.3729,17.7538,4.3118
22/03/1992,7226,12.4806,8.1851,17.5406,3.9877
23/03/1992,6394,4.4218,12.4806,16.6143,3.5335
24/03/1992,5429,7.3903,4.4218,16.5128,3.602
25/03/1992,5314,1.1978,7.3903,16.9096,3.6279
26/03/1992,4838,2.0113,1.1978,17.1423,4.2152
27/03/1992,4689,8.407,2.0113,17.1066,4.0489
28/03/1992,4321,0.5175,8.407,17.1585,3.7617
29/03/1992,3647,1.3083,0.5175,16.7433,3.5566
30/03/1992,3165,6.5688,1.3083,16.2667,3.247
31/03/1992,2990,5.4173,6.5688,15.7032,3.2317
1/04/1992,3456,2.2799,5.4173,16.4795,3.722
2/04/1992,3883,7.3817,2.2799,16.8615,3.7548
3/04/1992,4292,2.1488,7.3817,17.0236,3.7751
4/04/1992,4287,5.1088,2.1488,16.691,3.4216
5/04/1992,4503,9.196,5.1088,16.47,3.2182
6/04/1992,4866,0.005,9.196,16.6934,3.7133
7/04/1992,4757,0.0012,0.005,16.9461,3.4648
8/04/1992,4305,0.1207,0.0012,16.7496,3.3226
9/04/1992,4184,1.9533,0.1207,16.1931,3.0928
10/04/1992,5583,0.3583,1.9533,16.2613,3.0181
11/04/1992,6844,0.8968,0.3583,16.4177,3.4065
12/04/1992,7183,2.3717,0.8968,16.8073,3.7752
13/04/1992,6649,1.9128,2.3717,16.8072,3.7144
14/04/1992,5032,5.8217,1.9128,17.0437,3.6241
15/04/1992,4662,33.3852,5.8217,16.2445,3.2073
16/04/1992,5792,4.0161,33.3852,15.9742,2.9186
17/04/1992,5518,0.3357,4.0161,16.7566,3.3553
18/04/1992,4843,3.8099,0.3357,16.8372,3.4856
19/04/1992,4372,2.1837,3.8099,17.1735,3.7491
20/04/1992,3986,2.6222,2.1837,17.1403,3.9112
21/04/1992,4004,18.8513,2.6222,16.8226,3.328
22/04/1992,4734,1.1375,18.8513,16.3503,2.9298
23/04/1992,4762,1.5995,1.1375,17.1208,3.3739
24/04/1992,4937,0.717,1.5995,16.8767,3.5945
25/04/1992,5231,1.0056,0.717,17.2909,3.3308
26/04/1992,5972,3.538,1.0056,16.0496,2.7615
27/04/1992,8707,29.6704,3.538,15.4837,2.5154
28/04/1992,8877,0.5294,29.6704,16.0247,3.544
29/04/1992,7627,2.9836,0.5294,17.4879,3.7986
30/04/1992,5569,2.3415,2.9836,17.4272,3.5514
1/05/1992,4647,1.2114,2.3415,17.2945,3.5583
2/05/1992,4297,9.4476,1.2114,16.7958,3.4098
3/05/1992,3846,2.1222,9.4476,16.6283,3.3627
4/05/1992,3493,8.8529,2.1222,16.2546,3.3062
5/05/1992,3254,0.8691,8.8529,16.4343,3.1841
6/05/1992,3142,2.7743,0.8691,16.7767,3.5855
7/05/1992,2702,0.9329,2.7743,16.8171,3.4451
8/05/1992,2497,2.6458,0.9329,16.4325,3.4147
9/05/1992,2467,4.5017,2.6458,16.0019,3.0201
10/05/1992,3180,0.15,4.5017,16.6431,3.35
11/05/1992,3871,0.05,0.15,16.5623,3.5998
12/05/1992,3784,4.8777,0.05,17.1113,3.6327
13/05/1992,4013,1.1264,4.8777,16.6942,2.9492
14/05/1992,4664,9.0541,1.1264,15.7849,2.7534
15/05/1992,6081,0.1623,9.0541,15.872,3.0707
16/05/1992,5780,0.0342,0.1623,16.0552,3.03
17/05/1992,4904,0.0088,0.0342,16.4114,3.3832
18/05/1992,4007,0,0.0088,16.2279,3.3554
19/05/1992,3973,0.1119,0,16.1989,3.1863
20/05/1992,4015,1.0217,0.1119,16.1797,2.9798
21/05/1992,4406,0.4476,1.0217,16.2317,3.2205
22/05/1992,4389,0.2779,0.4476,16.6324,3.2171
23/05/1992,4015,6.7698,0.2779,16.5969,3.4654
24/05/1992,4262,3.3186,6.7698,15.7573,3.0992
25/05/1992,4077,1.3122,3.3186,16.116,3.2847
26/05/1992,3834,0.4482,1.3122,16.4085,3.4477
27/05/1992,3574,0.5008,0.4482,16.8584,3.7984
28/05/1992,3427,3.0908,0.5008,16.9475,3.4585
29/05/1992,3274,5.09,3.0908,16.4394,3.0602
30/05/1992,2914,4.2026,5.09,16.7682,3.2855
31/05/1992,2568,12.3586,4.2026,16.0661,2.8763
1/06/1992,2358,27.754,12.3586,16.1333,2.7582
2/06/1992,2520,23.8807,27.754,15.1075,2.2848
3/06/1992,4503,2.3215,23.8807,15.5721,2.9001
4/06/1992,7617,15.8533,2.3215,15.6643,2.9066
5/06/1992,8494,2.7568,15.8533,15.9681,3.118
6/06/1992,7177,0.6675,2.7568,15.9454,3.2015
7/06/1992,5204,0.1637,0.6675,16.0144,3.2426
8/06/1992,5437,0.0036,0.1637,15.678,3.0721
9/06/1992,4742,3.0979,0.0036,15.6271,3.0748
10/06/1992,4186,2.0155,3.0979,15.7727,3.2526
11/06/1992,3586,3.8441,2.0155,15.3593,3.0298
12/06/1992,4597,8.00E-04,3.8441,14.5016,2.3704
13/06/1992,7768,0.0366,8.00E-04,14.7637,2.5719
14/06/1992,9941,0.0578,0.0366,14.5735,2.3628
15/06/1992,10530,0.0927,0.0578,14.7025,2.6649
16/06/1992,9929,0.2492,0.0927,15.1467,2.7835
17/06/1992,8399,0.098,0.2492,15.2145,2.7933
18/06/1992,6479,0,0.098,15.2338,2.8248
19/06/1992,5274,0.0024,0,15.2126,2.7734
20/06/1992,4887,0.044,0.0024,15.3914,2.9952
21/06/1992,4315,0,0.044,15.228,2.7579
22/06/1992,5643,0.083,0,14.8173,2.6169
23/06/1992,6341,0.0807,0.083,14.3763,2.644
24/06/1992,6199,0,0.0807,14.5171,2.8979
25/06/1992,5836,0,0,14.8655,3.0085
26/06/1992,5302,0,0,15.0798,2.9505
27/06/1992,4933,0,0,15.1712,3.2052
28/06/1992,4246,11.2669,0,15.1632,2.9909
29/06/1992,3751,0.4691,11.2669,14.9107,2.7845
30/06/1992,3289,0.1737,0.4691,15.1922,2.9638
1/07/1992,3511,2.6559,0.1737,14.9624,2.9301
2/07/1992,3701,5.1244,2.6559,14.6657,2.8169
3/07/1992,3764,12.373,5.1244,13.8952,2.4559
4/07/1992,4155,1.612,12.373,13.5166,2.8687
5/07/1992,4834,0.1599,1.612,14.3228,2.6998
6/07/1992,4708,0.3624,0.1599,13.8065,2.5878
7/07/1992,4876,1.7636,0.3624,13.5,2.3069
8/07/1992,6618,0.6853,1.7636,13.1518,2.4192
9/07/1992,7899,0.0387,0.6853,13.3417,2.7213
10/07/1992,7968,0.4883,0.0387,13.6972,2.8883
11/07/1992,5401,0.2597,0.4883,13.4186,2.8516
12/07/1992,3741,0,0.2597,14.2102,3.0668
13/07/1992,3389,0.1278,0,14.5074,3.1275
14/07/1992,3267,0.5384,0.1278,14.7668,3.0292
15/07/1992,3638,8.447,0.5384,14.5563,2.9482
16/07/1992,4002,23.476,8.447,13.879,2.6645
17/07/1992,5536,4.5266,23.476,13.6357,2.4291
18/07/1992,6862,5.7174,4.5266,13.6198,2.7197
19/07/1992,6898,2.5036,5.7174,13.4716,2.5982
20/07/1992,6450,2.6858,2.5036,13.1417,2.5357
21/07/1992,6189,0,2.6858,13.4306,2.9631
22/07/1992,5797,0,0,13.6454,2.7204
23/07/1992,5639,0.0161,0,12.7326,2.2976
24/07/1992,5791,0.8431,0.0161,12.6441,2.1916
25/07/1992,5807,0,0.8431,12.6775,3.0763
26/07/1992,5345,0,0,13.6609,3.0984
27/07/1992,4625,0,0,13.6208,2.9797
28/07/1992,4145,0,0,13.4756,2.7429
29/07/1992,3628,0.1748,0,14.4854,3.4524
30/07/1992,3339,0.6392,0.1748,14.3675,3.081
31/07/1992,3205,0.3408,0.6392,14.3939,3.1951
1/08/1992,3138,0.0035,0.3408,14.4138,3.432
2/08/1992,3411,0.0083,0.0035,14.3773,2.9962
3/08/1992,3366,0.0511,0.0083,13.9888,2.8428
4/08/1992,3180,0.9189,0.0511,13.64,2.8227
5/08/1992,3321,2.4496,0.9189,13.513,2.6221
6/08/1992,3416,3.4106,2.4496,13.5882,2.8838
7/08/1992,3321,0,3.4106,14.0025,3.2315
8/08/1992,3756,0,0,14.411,3.3483
9/08/1992,4264,0.0084,0,14.0107,2.7969
10/08/1992,4181,0.018,0.0084,14.7671,3.6457
11/08/1992,3928,2.6103,0.018,14.5079,3.012
12/08/1992,3737,18.3963,2.6103,13.8495,2.6183
13/08/1992,3289,0.7191,18.3963,14.2024,3.0932
14/08/1992,3561,0.2131,0.7191,15.1853,3.3084
15/08/1992,3977,1.6007,0.2131,15.046,3.4069
16/08/1992,3894,3.8258,1.6007,14.7631,3.2963
17/08/1992,4074,2.2588,3.8258,14.7809,3.106
18/08/1992,3864,1.9641,2.2588,14.9108,3.2125
19/08/1992,3534,4.235,1.9641,15.3773,3.2416
20/08/1992,3508,1.3707,4.235,14.8502,2.8326
21/08/1992,4663,3.2312,1.3707,14.4204,2.8142
22/08/1992,5388,1.1937,3.2312,14.0651,2.803
23/08/1992,5076,0.8435,1.1937,14.1741,3.0535
24/08/1992,4430,0.73,0.8435,13.6783,3.2874
25/08/1992,3816,0.3032,0.73,14.3289,3.0628
26/08/1992,3989,2.1858,0.3032,14.4297,3.4105
27/08/1992,3302,0.0023,2.1858,14.4284,3.6573
28/08/1992,3019,0.0023,0.0023,14.8865,3.5831
29/08/1992,2698,0.326,0.0023,15.3683,3.6224
30/08/1992,2475,0.2375,0.326,15.4435,3.7738
31/08/1992,2302,1.7869,0.2375,15.728,3.6256
1/09/1992,2106,1.067,1.7869,15.3989,3.458
2/09/1992,1926,1.0246,1.067,15.6533,3.6197
3/09/1992,2398,0.4221,1.0246,15.8672,3.4432
4/09/1992,4463,2.2965,0.4221,15.0489,3.0068
5/09/1992,5203,0.3164,2.2965,15.2572,3.4798
6/09/1992,5427,0.9692,0.3164,14.992,3.4493
7/09/1992,5080,0.6554,0.9692,14.9531,3.2871
8/09/1992,5268,10.4136,0.6554,14.2096,2.842
9/09/1992,7004,0.2989,10.4136,14.7275,3.4886
10/09/1992,8357,0.1729,0.2989,15.2794,3.7949
11/09/1992,6855,0.6219,0.1729,15.3056,3.4837
12/09/1992,4831,0,0.6219,15.5146,3.682
13/09/1992,4098,0.9301,0,15.8238,3.8503
14/09/1992,3683,0.7861,0.9301,15.323,3.6115
15/09/1992,3504,8.7496,0.7861,15.1865,3.372
16/09/1992,4107,1.5558,8.7496,14.6879,3.3161
17/09/1992,4528,0.866,1.5558,15.1269,3.6409
18/09/1992,4781,0.4481,0.866,15.1002,3.8187
19/09/1992,5016,2.2661,0.4481,14.7884,3.317
20/09/1992,5048,4.6757,2.2661,15.0372,3.6036
21/09/1992,4917,0.3453,4.6757,15.398,3.7462
22/09/1992,4849,3.4964,0.3453,15.3968,3.9863
23/09/1992,4114,2.847,3.4964,15.1373,3.6855
24/09/1992,3534,0.8363,2.847,15.3311,3.6033
25/09/1992,3400,3.3033,0.8363,15.8196,3.7429
26/09/1992,2522,12.3588,3.3033,15.3965,3.5828
27/09/1992,2057,4.3883,12.3588,14.4264,3.2568
28/09/1992,1860,17.7665,4.3883,14.5985,3.4375
29/09/1992,1727,0.691,17.7665,14.7237,3.4248
30/09/1992,1988,0.9028,0.691,15.066,3.6774
1/10/1992,4156,0.9671,0.9028,15.3607,4.0029
2/10/1992,4246,0.9539,0.9671,15.6767,4.1605
3/10/1992,4400,1.0033,0.9539,15.1276,3.5317
4/10/1992,4632,0.2309,1.0033,14.9833,3.9121
5/10/1992,3897,2.5167,0.2309,15.5452,4.0538
6/10/1992,3291,5.9085,2.5167,15.5116,3.9924
7/10/1992,3106,8.2181,5.9085,14.5717,3.1665
8/10/1992,3438,26.3696,8.2181,14.6587,3.3292
9/10/1992,4270,1.9095,26.3696,14.6922,3.3462
10/10/1992,5442,2.2585,1.9095,14.7304,3.6703
11/10/1992,4932,8.4758,2.2585,15.0353,3.6799
12/10/1992,4889,2.3312,8.4758,15.045,3.8296
13/10/1992,5835,3.8123,2.3312,14.8509,3.3617
14/10/1992,7615,0.5096,3.8123,14.896,3.4461
15/10/1992,6876,0.0056,0.5096,15.3817,4.0248
16/10/1992,5210,0.3419,0.0056,16.0347,4.242
17/10/1992,4185,2.3649,0.3419,15.8951,3.9649
18/10/1992,3916,0.8766,2.3649,15.0589,3.6715
19/10/1992,3559,0.6106,0.8766,15.622,4.0438
20/10/1992,3377,0.3095,0.6106,15.8069,3.7426
21/10/1992,3254,0.3971,0.3095,15.5045,3.6804
22/10/1992,2996,0.2055,0.3971,16.0907,3.9551
23/10/1992,2953,0.2062,0.2055,16.1909,3.9464
24/10/1992,3541,1.1212,0.2062,16.0932,3.9208
25/10/1992,3882,0.3388,1.1212,15.6637,3.6843
26/10/1992,3462,0.1616,0.3388,15.5958,3.8152
27/10/1992,2484,1.7024,0.1616,15.6244,4.1518
28/10/1992,2429,3.9351,1.7024,15.9873,4.0352
29/10/1992,2359,3.0768,3.9351,16.3234,4.1382
30/10/1992,2936,5.3976,3.0768,16.057,3.9733
31/10/1992,3182,1.1728,5.3976,16.0171,3.9902
1/11/1992,3676,0.0045,1.1728,16.3657,3.9929
2/11/1992,3662,0.0994,0.0045,16.6652,4.236
3/11/1992,3423,0.0146,0.0994,16.7082,3.985
4/11/1992,3118,0.3132,0.0146,16.2241,3.9252
5/11/1992,2677,5.0281,0.3132,15.4271,3.2961
6/11/1992,2702,10.465,5.0281,14.7805,3.2478
7/11/1992,3019,0.6066,10.465,15.007,3.8077
8/11/1992,3240,0.3696,0.6066,15.3599,3.4907
9/11/1992,2871,0.5597,0.3696,15.7151,3.9169
10/11/1992,2582,2.4626,0.5597,15.7753,3.6638
11/11/1992,2795,1.2549,2.4626,15.7399,3.7005
12/11/1992,2560,3.9206,1.2549,15.8278,3.8494
13/11/1992,2490,0.9799,3.9206,15.7652,3.8972
14/11/1992,1956,2.5697,0.9799,15.9278,3.9634
15/11/1992,2147,1.4941,2.5697,15.4276,3.923
16/11/1992,2560,0.68,1.4941,15.6019,3.6326
17/11/1992,3049,4.2229,0.68,15.397,3.1994
18/11/1992,3066,4.631,4.2229,15.0918,3.2446
19/11/1992,2827,6.0411,4.631,15.6031,3.4289
20/11/1992,3105,0.7382,6.0411,15.9839,3.7796
21/11/1992,3702,10.7267,0.7382,15.8094,3.6835
22/11/1992,3894,1.9282,10.7267,15.9765,3.7209
23/11/1992,4116,0.9384,1.9282,16.0272,3.9784
24/11/1992,4118,1.0488,0.9384,16.1078,3.7543
25/11/1992,4072,0.0884,1.0488,15.3895,3.6503
26/11/1992,4262,1.0226,0.0884,16.2788,4.2967
27/11/1992,4289,0.8728,1.0226,16.1172,4.2354
28/11/1992,3956,2.1313,0.8728,15.8341,4.2873
29/11/1992,3848,6.5086,2.1313,15.9246,4.1182
30/11/1992,3051,4.3371,6.5086,16.4272,4.4102
1/12/1992,2470,0.0882,4.3371,16.2914,4.3936
2/12/1992,2181,3.949,0.0882,16.2876,4.1538
3/12/1992,2034,8.6043,3.949,15.5558,3.1626
4/12/1992,1986,7.1122,8.6043,15.3184,3.3989
5/12/1992,2679,0.0366,7.1122,15.9243,4.0151
6/12/1992,3559,0.2049,0.0366,16.1579,3.9527
7/12/1992,3853,2.4598,0.2049,15.5957,3.2178
8/12/1992,3765,0.1173,2.4598,15.7084,3.658
9/12/1992,3496,0.4472,0.1173,16.1848,3.9524
10/12/1992,3067,9.1018,0.4472,16.1479,3.8873
11/12/1992,2812,0.3653,9.1018,16.028,3.8213
12/12/1992,2748,6.3806,0.3653,14.69,2.7503
13/12/1992,2528,2.3659,6.3806,15.2479,3.2303
14/12/1992,2268,0.021,2.3659,15.746,3.8114
15/12/1992,1800,0.0561,0.021,16.586,3.9525
16/12/1992,1338,0.8032,0.0561,16.5989,3.6471
17/12/1992,978.5,2.7479,0.8032,16.1579,3.6689
18/12/1992,819.4,6.3019,2.7479,15.8509,3.6099
19/12/1992,1401,14.1929,6.3019,15.5715,3.4714
20/12/1992,1353,8.3977,14.1929,15.4042,3.1353
21/12/1992,1514,4.4971,8.3977,15.4607,3.0334
22/12/1992,1676,9.6295,4.4971,15.6393,3.2175
23/12/1992,1996,0.0139,9.6295,15.7892,3.3859
24/12/1992,2313,0.0181,0.0139,14.9546,3.2479
25/12/1992,2716,0.3518,0.0181,14.9806,3.0228
26/12/1992,2927,0.8679,0.3518,15.0384,3.2534
27/12/1992,3212,0.0021,0.8679,14.8254,3.3073
28/12/1992,3514,0,0.0021,15.1597,3.8481
29/12/1992,3753,4.8524,0,16.0064,3.9976
30/12/1992,3965,10.7662,4.8524,16.3745,4.0208
31/12/1992,4196,0,10.7662,16.3647,4.0222
1/01/1993,4707,0.0033,0,15.4343,3.0534
2/01/1993,5142,5.1084,0.0033,14.8805,2.8803
3/01/1993,5930,0.1347,5.1084,15.4885,3.6236
4/01/1993,5627,3.4011,0.1347,15.6618,3.5482
5/01/1993,4715,4.4017,3.4011,15.7938,3.5392
6/01/1993,4120,3.3415,4.4017,15.7898,3.871
7/01/1993,3803,1.2143,3.3415,15.5557,3.9368
8/01/1993,3538,2.3221,1.2143,15.9303,4.0465
9/01/1993,3230,5.8775,2.3221,15.8791,4.061
10/01/1993,3182,0.045,5.8775,15.4695,3.678
11/01/1993,3073,7.6796,0.045,15.969,3.9298
12/01/1993,2837,6.4344,7.6796,15.89,3.5159
13/01/1993,2703,0.5297,6.4344,15.2099,3.3946
14/01/1993,2658,0.0915,0.5297,14.1939,2.7748
15/01/1993,2624,0.3555,0.0915,14.47,3.2308
16/01/1993,2894,1.0144,0.3555,15.1739,3.6571
17/01/1993,3582,2.263,1.0144,14.9639,3.5958
18/01/1993,3542,13.0937,2.263,15.5552,3.6237
19/01/1993,3626,5.5744,13.0937,15.7645,3.573
20/01/1993,3708,3.2929,5.5744,15.7103,3.5896
21/01/1993,3583,0.1892,3.2929,15.6212,3.7003
22/01/1993,3705,3.209,0.1892,15.3995,3.3842
23/01/1993,3166,0.4067,3.209,15.5591,3.5942
24/01/1993,3147,3.5225,0.4067,15.5968,3.5593
25/01/1993,3960,2.5605,3.5225,15.2636,2.9728
26/01/1993,4191,2.8192,2.5605,15.7335,3.2916
27/01/1993,4853,4.2936,2.8192,15.2222,2.8421
28/01/1993,5171,6.2872,4.2936,15.6208,3.694
29/01/1993,5265,6.6536,6.2872,16.108,3.6226
30/01/1993,4864,4.5296,6.6536,16.382,3.6348
31/01/1993,4559,10.5913,4.5296,15.9997,3.3322
1/02/1993,4352,14.5781,10.5913,15.9616,3.4806
2/02/1993,4309,0.2347,14.5781,14.8816,2.5825
3/02/1993,4959,7.3234,0.2347,15.3352,3.69
4/02/1993,6450,0,7.3234,15.6078,3.7379
5/02/1993,8066,41.3011,0,15.9643,3.4792
6/02/1993,6773,14.1435,41.3011,16.0462,3.6871
7/02/1993,6360,13.5173,14.1435,16.2685,3.6704
8/02/1993,5894,17.6626,13.5173,16.2389,3.6709
9/02/1993,6796,0.3523,17.6626,16.2439,3.7316
10/02/1993,7182,1.3331,0.3523,15.4612,3.0924
11/02/1993,7659,4.233,1.3331,15.6536,3.6499
12/02/1993,6965,4.3699,4.233,15.9708,3.9392
13/02/1993,6575,5.9063,4.3699,15.6877,3.8522
14/02/1993,5872,2.5362,5.9063,16.52,4.0025
15/02/1993,5442,9.6224,2.5362,16.5305,3.858
16/02/1993,5919,12.7959,9.6224,15.8284,3.4548
17/02/1993,6760,0.312,12.7959,15.8273,3.5923
18/02/1993,7469,0.1576,0.312,16.0047,4.3146
19/02/1993,6297,1.4421,0.1576,16.1317,3.9848
20/02/1993,5557,14.752,1.4421,15.4275,3.2813
21/02/1993,4952,0.7155,14.752,15.4647,3.4464
22/02/1993,5460,0.2358,0.7155,15.2506,3.2376
23/02/1993,5074,0.0128,0.2358,15.8242,3.8157
24/02/1993,4586,4.7513,0.0128,16.6292,3.9906
25/02/1993,5147,6.4222,4.7513,15.364,3.4574
26/02/1993,5542,17.1996,6.4222,14.9803,3.2068
27/02/1993,5529,6.9497,17.1996,15.3971,3.4276
28/02/1993,5198,4.9377,6.9497,15.3572,3.4345
1/03/1993,5132,14.132,4.9377,15.5459,3.312
2/03/1993,6034,21.5245,14.132,14.8825,3.1171
3/03/1993,7725,4.2265,21.5245,15.2272,3.2059
4/03/1993,8181,7.2708,4.2265,15.2596,3.6555
5/03/1993,8416,13.6975,7.2708,15.1158,3.5159
6/03/1993,8172,5.5493,13.6975,15.1164,3.3931
7/03/1993,8284,15.2923,5.5493,14.4298,2.6996
8/03/1993,9800,4.2946,15.2923,14.7892,3.3167
9/03/1993,9908,9.031,4.2946,15.2954,3.4905
10/03/1993,8849,5.0851,9.031,14.9747,3.3494
11/03/1993,8534,0.9922,5.0851,15.2419,3.6245
12/03/1993,7834,5.2276,0.9922,14.9345,2.9618
13/03/1993,8445,3.1897,5.2276,14.9623,3.3315
14/03/1993,8437,1.2392,3.1897,15.4116,3.8078
15/03/1993,8230,6.7219,1.2392,15.8635,4.0362
16/03/1993,8495,6.8614,6.7219,16.0674,3.9091
17/03/1993,8601,5.088,6.8614,16.0621,3.7275
18/03/1993,8289,43.9465,5.088,14.7721,2.671
19/03/1993,8119,1.7968,43.9465,15.0802,3.2735
20/03/1993,7730,0.6851,1.7968,15.5826,3.6751
21/03/1993,6748,20.5244,0.6851,15.1526,3.2031
22/03/1993,6501,7.7871,20.5244,15.2856,3.4131
23/03/1993,6802,10.5181,7.7871,15.019,2.9769
24/03/1993,7392,11.6129,10.5181,14.8182,3.1555
25/03/1993,7882,16.7834,11.6129,14.9716,3.2391
26/03/1993,8085,9.71,16.7834,15.2243,3.1454
27/03/1993,9227,11.3583,9.71,15.203,3.3997
28/03/1993,9890,13.5017,11.3583,15.6762,3.67
29/03/1993,9424,2.891,13.5017,15.5818,3.8079
30/03/1993,9051,17.1331,2.891,15.8068,3.3392
31/03/1993,8815,31.7474,17.1331,15.4706,3.1952
1/04/1993,6919,1.9551,31.7474,15.8896,3.6723
2/04/1993,7746,1.2089,1.9551,15.5103,3.577
3/04/1993,7044,3.2217,1.2089,15.768,3.6123
4/04/1993,6366,5.8727,3.2217,16.0496,3.5474
5/04/1993,6152,9.3057,5.8727,16.292,3.6286
6/04/1993,5532,10.0176,9.3057,15.9854,3.4004
7/04/1993,6142,13.067,10.0176,15.4669,2.8927
8/04/1993,6276,6.6773,13.067,15.5109,3.529
9/04/1993,6205,4.5811,6.6773,15.2792,3.1886
10/04/1993,6183,3.3084,4.5811,15.3025,3.0638
11/04/1993,6367,4.4039,3.3084,15.8811,3.5645
12/04/1993,7413,4.1073,4.4039,15.7182,3.4173
13/04/1993,7529,8.0848,4.1073,15.8026,3.2166
14/04/1993,7076,1.032,8.0848,15.8961,3.7206
15/04/1993,6412,1.8827,1.032,16.0281,3.352
16/04/1993,6880,4.4848,1.8827,15.4624,3.0775
17/04/1993,9279,14.8919,4.4848,15.204,3.2693
18/04/1993,9557,7.3631,14.8919,15.3881,3.2773
19/04/1993,8109,7.3143,7.3631,15.093,2.9806
20/04/1993,8196,4.7141,7.3143,15.5514,3.3685
