date,q,pp,t,pet
1999-04-20,13080,0,20.4646,3.81216778
1999-04-21,11460,0,21.2311,3.917956019
1999-04-22,9028,0.0792,22.2972,4.067795895
1999-04-23,8305,9.2553,21.8499,3.991834754
1999-04-24,9998,0,22.4512,4.071661194
1999-04-25,10630,18.4163,23.425,4.20613826
1999-04-26,9910,0.1879,23.1682,4.15822589
1999-04-27,8625,2.1318,23.0971,4.137807938
1999-04-28,6654,31.3141,22.9171,4.10141514
1999-04-29,7016,2.2738,22.8642,4.083759658
1999-04-30,7093,7.1959,22.089,3.960528502
1999-05-01,7730,37.3768,21.1162,3.809026388
1999-05-02,9100,4.3841,20.7103,3.740701665
1999-05-03,10770,74.6093,21.3024,3.817527836
1999-05-04,12810,0,22.9861,4.052004955
1999-05-05,13760,3.1403,23.0477,4.051038015
1999-05-06,12650,72.0225,22.4,3.947868896
1999-05-07,11550,20.9595,23.2221,4.056458972
1999-05-08,9787,31.7073,21.5947,3.813307843
1999-05-09,8073,0.352,22.8383,3.982014168
1999-05-10,6393,0,23.2655,4.033437174
1999-05-11,5949,45.8538,22.7304,3.947657037
1999-05-12,6138,17.4911,21.1185,3.709396008
1999-05-13,6136,0,21.1668,3.707534584
1999-05-14,5939,9.3785,22.2084,3.846148724
1999-05-15,5811,2.1286,21.0611,3.675479792
1999-05-16,6548,10.5394,21.6097,3.744295848
1999-05-17,9372,0.2169,22.3988,3.846645412
1999-05-18,8963,6.2205,22.0059,3.783050577
1999-05-19,7626,9.9314,20.953,3.627582278
1999-05-20,8264,29.8818,20.9383,3.617692403
1999-05-21,9480,0,21.678,3.712948312
1999-05-22,9083,0,21.5436,3.686522669
1999-05-23,6790,0,21.475,3.669452721
1999-05-24,5422,0,21.6415,3.685105078
1999-05-25,5024,0,21.9834,3.725050859
1999-05-26,5510,0,23.2437,3.891533083
1999-05-27,5151,0,22.6613,3.804130364
1999-05-28,4594,7.5487,22.3421,3.753351046
1999-05-29,4379,6.3241,22.4297,3.758672603
1999-05-30,4188,0,22.6075,3.77649573
1999-05-31,4106,0,21.3177,3.594027576
1999-06-01,4791,0,21.5647,3.621877264
1999-06-02,6398,0,21.0388,3.54461922
1999-06-03,5508,0.0097,22.0304,3.674058214
1999-06-04,4558,3.1915,22.2675,3.700919076
1999-06-05,4585,13.7676,21.4551,3.585673677
1999-06-06,5212,0.8439,21.8144,3.629555972
1999-06-07,6213,2.0533,21.7619,3.617878275
1999-06-08,5714,4.2886,21.859,3.626657214
1999-06-09,5135,14.7317,22.258,3.676367321
1999-06-10,6086,11.8555,21.7294,3.601234636
1999-06-11,8858,9.7966,20.9758,3.496213517
1999-06-12,11280,0,21.8371,3.608787732
1999-06-13,10800,17.6661,21.1521,3.513657131
1999-06-14,9023,18.6644,21.9005,3.611360994
1999-06-15,8384,0,22.6905,3.714754316
1999-06-16,7699,0.1141,22.7123,3.715283187
1999-06-17,6793,24.1373,22.3838,3.669143394
1999-06-18,6147,26.9292,22.6933,3.708763155
1999-06-19,5795,0.0808,22.0308,3.618501052
1999-06-20,5832,7.4351,21.4189,3.535347506
1999-06-21,7643,0.5572,21.2239,3.508282214
1999-06-22,8739,0.8163,21.3523,3.524747539
1999-06-23,8378,0,21.867,3.59313356
1999-06-24,7176,11.6639,22.7546,3.711644109
1999-06-25,5416,3.3847,22.1389,3.629386603
1999-06-26,4862,39.6949,21.7339,3.575570725
1999-06-27,5513,66.4937,21.4894,3.543476756
1999-06-28,7147,7.5178,21.8046,3.586521612
1999-06-29,5403,11.3167,21.5828,3.557980784
1999-06-30,4913,35.5878,20.9537,3.475144191
1999-07-01,5959,81.4022,21.2946,3.522431069
1999-07-02,7322,8.4309,21.8325,3.596424327
1999-07-03,6559,9.7965,21.2798,3.52449494
1999-07-04,5621,32.1003,21.395,3.542357872
1999-07-05,5002,15.3671,21.4869,3.557364594
1999-07-06,5237,45.1945,18.6853,3.183704788
1999-07-07,8434,0.621,19.1613,3.250578271
1999-07-08,9488,0.4286,20.669,3.45672678
1999-07-09,6947,0.1153,20.5438,3.443390435
1999-07-10,6152,0,21.0055,3.509449749
1999-07-11,5814,0,21.2743,3.549816571
1999-07-12,4495,0.3476,21.5876,3.596517448
1999-07-13,4384,0.7653,21.3008,3.562271709
1999-07-14,4693,9.7502,20.7702,3.495079807
1999-07-15,4304,2.4068,21.4844,3.596965153
1999-07-16,3930,1.9552,21.7001,3.631538746
1999-07-17,3931,0.8959,21.3163,3.584747575
1999-07-18,3854,16.9762,21.1179,3.563292981
1999-07-19,3911,9.2389,20.608,3.499381808
1999-07-20,4231,0.4213,20.5126,3.492166319
1999-07-21,4745,5.0764,21.0708,3.574707281
1999-07-22,5237,7.1332,21.3773,3.623122597
1999-07-23,5563,29.8611,21.3616,3.627528898
1999-07-24,4864,2.1623,20.9336,3.575258231
1999-07-25,4501,1.8098,20.6153,3.538081303
1999-07-26,5251,2.4482,21.5962,3.68068923
1999-07-27,6035,0,22.1497,3.764717622
1999-07-28,5777,1.5705,21.2887,3.652666867
1999-07-29,4928,0.7796,21.8127,3.733103296
1999-07-30,4379,0.4089,21.5777,3.708082745
1999-07-31,3652,0.8661,21.8966,3.760496276
1999-08-01,4773,2.3975,20.568,3.582387925
1999-08-02,4682,0,21.3951,3.706283894
1999-08-03,4811,0,21.5349,3.73407381
1999-08-04,4406,0,21.6366,3.756678019
1999-08-05,3777,0,22.4541,3.880618219
1999-08-06,4237,0,22.1143,3.841214117
1999-08-07,4661,16.8188,22.1205,3.85080231
1999-08-08,4405,66.6023,21.1364,3.719536476
1999-08-09,4253,1.0984,20.0189,3.568666876
1999-08-10,4615,0,20.7736,3.684783403
1999-08-11,4550,0,21.433,3.787789836
1999-08-12,4288,0,22.6644,3.973432057
1999-08-13,3773,0,22.8692,4.012138013
1999-08-14,2854,48.5183,21.5567,3.832067399
1999-08-15,2959,0,20.0432,3.62206725
1999-08-16,5559,0.3762,18.8754,3.461179619
1999-08-17,6811,0,20.0252,3.636270057
1999-08-18,5518,0,20.5527,3.72149918
1999-08-19,4606,0,21.2375,3.830035411
1999-08-20,4194,0,22.0255,3.954113407
1999-08-21,3578,0,22.9083,4.092595809
1999-08-22,2971,0,22.507,4.042900458
1999-08-23,2408,0.1065,22.34,4.027413021
1999-08-24,2145,8.8617,22.4369,4.050729778
1999-08-25,1916,1.555,22.8145,4.115589543
1999-08-26,1737,16.6447,22.795,4.121746796
1999-08-27,1360,3.1076,22.7843,4.129129283
1999-08-28,1013,44.4668,23.3111,4.216479762
1999-08-29,864.1,47.7717,22.606,4.120218081
1999-08-30,779.7,0,22.5062,4.113952662
1999-08-31,1094,7.2975,22.7524,4.159384828
1999-09-01,3107,1.1179,22.9985,4.204849469
1999-09-02,2539,2.1595,23.0607,4.222678186
1999-09-03,2067,0.3775,23.2583,4.260841638
1999-09-04,2361,23.3352,22.9425,4.22143413
1999-09-05,2480,2.0676,23.0928,4.252263368
1999-09-06,2149,0,22.9018,4.231283959
1999-09-07,2487,1.5759,23.438,4.320537435
1999-09-08,2362,3.5682,23.5616,4.347138698
1999-09-09,2133,6.7113,23.86,4.400302597
1999-09-10,2148,16.3172,22.7984,4.245744352
1999-09-11,2434,22.6591,22.4192,4.194872855
1999-09-12,2880,0,23.0698,4.301452061
1999-09-13,3560,0.063,23.5997,4.389654974
1999-09-14,4314,1.6174,23.1204,4.322794475
1999-09-15,5076,38.418,22.4075,4.219562478
1999-09-16,5653,21.708,21.1396,4.030252535
1999-09-17,5205,25.0592,20.7003,3.968139917
1999-09-18,5144,0.6999,22.1066,4.19101462
1999-09-19,5390,0,22.7264,4.292522768
1999-09-20,4705,0.1855,22.7727,4.305183436
1999-09-21,4650,39.7378,21.8492,4.16714485
